period,game_clock,team_id,hull_area,game
2,230.15,1610612744,577.8079277883501,01.02.2016.DEN.at.GSW
2,229.95,1610612744,581.5096886207999,01.02.2016.DEN.at.GSW
2,229.75,1610612744,583.89058630925,01.02.2016.DEN.at.GSW
2,229.55,1610612744,587.4281781165001,01.02.2016.DEN.at.GSW
2,229.35,1610612744,584.62475904575,01.02.2016.DEN.at.GSW
2,229.11,1610612743,228.24631750660006,01.02.2016.DEN.at.GSW
2,228.91,1610612743,206.70853456350005,01.02.2016.DEN.at.GSW
2,227.99,1610612744,607.4273367700498,01.02.2016.DEN.at.GSW
2,227.79,1610612744,625.1888645534,01.02.2016.DEN.at.GSW
2,227.59,1610612744,640.0038861863,01.02.2016.DEN.at.GSW
2,227.39,1610612744,641.2878979729,01.02.2016.DEN.at.GSW
2,227.2,1610612744,620.0889803181999,01.02.2016.DEN.at.GSW
2,227.0,1610612744,579.3405754101,01.02.2016.DEN.at.GSW
2,226.8,1610612744,574.7971170147999,01.02.2016.DEN.at.GSW
2,226.6,1610612744,573.6363548155,01.02.2016.DEN.at.GSW
2,226.4,1610612744,569.0097007157,01.02.2016.DEN.at.GSW
2,226.2,1610612744,562.3483430453998,01.02.2016.DEN.at.GSW
2,226.0,1610612744,560.6953250818001,01.02.2016.DEN.at.GSW
2,225.64,1610612744,576.25203469215,01.02.2016.DEN.at.GSW
2,224.6,1610612744,650.61681615095,01.02.2016.DEN.at.GSW
2,222.99,1610612743,1370.3321031629503,01.02.2016.DEN.at.GSW
2,222.79,1610612743,1389.2669133748,01.02.2016.DEN.at.GSW
2,222.6,1610612743,1406.9713716601,01.02.2016.DEN.at.GSW
2,222.41,1610612743,1421.1346146045,01.02.2016.DEN.at.GSW
2,222.22,1610612743,1435.3974506265,01.02.2016.DEN.at.GSW
2,222.03,1610612743,1443.437913885,01.02.2016.DEN.at.GSW
2,221.84,1610612743,1449.2952068857999,01.02.2016.DEN.at.GSW
2,221.65,1610612743,1453.9099365596,01.02.2016.DEN.at.GSW
2,221.46,1610612743,1450.8871756152002,01.02.2016.DEN.at.GSW
2,221.27,1610612743,1444.70842293665,01.02.2016.DEN.at.GSW
2,221.07,1610612743,1429.8716482168,01.02.2016.DEN.at.GSW
2,220.88,1610612743,1418.0360745353498,01.02.2016.DEN.at.GSW
2,220.69,1610612743,1395.96445254445,01.02.2016.DEN.at.GSW
2,220.5,1610612743,1369.743849988,01.02.2016.DEN.at.GSW
2,220.31,1610612743,1336.8718446775001,01.02.2016.DEN.at.GSW
2,220.12,1610612743,1296.6462604951998,01.02.2016.DEN.at.GSW
2,219.93,1610612743,1245.4366882169497,01.02.2016.DEN.at.GSW
2,219.73,1610612743,1190.4421917787001,01.02.2016.DEN.at.GSW
2,219.54,1610612743,1130.0828790995,01.02.2016.DEN.at.GSW
2,219.35,1610612743,1064.21640004705,01.02.2016.DEN.at.GSW
2,219.16,1610612743,990.0758986906501,01.02.2016.DEN.at.GSW
2,218.97,1610612743,913.8128064119999,01.02.2016.DEN.at.GSW
2,218.78,1610612743,843.3740514585998,01.02.2016.DEN.at.GSW
2,218.59,1610612743,788.2280395941001,01.02.2016.DEN.at.GSW
2,218.4,1610612743,741.3966894740997,01.02.2016.DEN.at.GSW
2,218.2,1610612743,690.9525044808499,01.02.2016.DEN.at.GSW
2,218.01,1610612743,634.9901309448,01.02.2016.DEN.at.GSW
2,217.82,1610612743,595.18837703205,01.02.2016.DEN.at.GSW
2,217.63,1610612743,559.9565477495998,01.02.2016.DEN.at.GSW
2,217.44,1610612743,537.0276604256999,01.02.2016.DEN.at.GSW
2,217.25,1610612743,519.0792245283498,01.02.2016.DEN.at.GSW
2,217.06,1610612743,511.5697048750502,01.02.2016.DEN.at.GSW
2,216.87,1610612743,509.37226776910023,01.02.2016.DEN.at.GSW
2,216.68,1610612743,512.1618383490002,01.02.2016.DEN.at.GSW
2,216.49,1610612743,511.85058352015,01.02.2016.DEN.at.GSW
2,216.29,1610612743,504.0946104510001,01.02.2016.DEN.at.GSW
2,216.1,1610612743,493.4446847813999,01.02.2016.DEN.at.GSW
2,215.68,1610612743,469.7795146872999,01.02.2016.DEN.at.GSW
2,215.49,1610612743,460.3370515316499,01.02.2016.DEN.at.GSW
2,215.3,1610612743,435.2886724172499,01.02.2016.DEN.at.GSW
2,215.11,1610612743,442.04109710544975,01.02.2016.DEN.at.GSW
2,214.92,1610612743,440.84083841279994,01.02.2016.DEN.at.GSW
2,214.73,1610612743,427.84376652799983,01.02.2016.DEN.at.GSW
2,214.53,1610612743,428.83752218240016,01.02.2016.DEN.at.GSW
2,214.34,1610612743,423.52327824275005,01.02.2016.DEN.at.GSW
2,214.15,1610612743,424.0187363721501,01.02.2016.DEN.at.GSW
2,213.96,1610612743,431.9608561728501,01.02.2016.DEN.at.GSW
2,213.77,1610612743,441.5571845888001,01.02.2016.DEN.at.GSW
2,213.58,1610612743,471.2761469126001,01.02.2016.DEN.at.GSW
2,213.16,1610612743,533.1793632755998,01.02.2016.DEN.at.GSW
2,212.97,1610612743,565.3015798788001,01.02.2016.DEN.at.GSW
2,212.78,1610612743,605.4522649841501,01.02.2016.DEN.at.GSW
2,212.59,1610612743,636.4360379521502,01.02.2016.DEN.at.GSW
2,212.39,1610612743,662.8724121892001,01.02.2016.DEN.at.GSW
2,212.01,1610612743,684.0526279635,01.02.2016.DEN.at.GSW
2,211.82,1610612743,676.5918144120001,01.02.2016.DEN.at.GSW
2,211.63,1610612743,655.1680282519999,01.02.2016.DEN.at.GSW
2,211.44,1610612743,621.8683221971996,01.02.2016.DEN.at.GSW
2,211.25,1610612743,580.45567617855,01.02.2016.DEN.at.GSW
2,211.06,1610612743,535.6644425651999,01.02.2016.DEN.at.GSW
2,210.87,1610612743,486.8031266184501,01.02.2016.DEN.at.GSW
2,210.67,1610612743,435.2484278650001,01.02.2016.DEN.at.GSW
2,210.48,1610612743,413.05701155115,01.02.2016.DEN.at.GSW
2,210.29,1610612743,388.3357569745,01.02.2016.DEN.at.GSW
2,210.1,1610612743,363.03332675325,01.02.2016.DEN.at.GSW
2,209.91,1610612743,336.2426401199999,01.02.2016.DEN.at.GSW
2,209.72,1610612743,312.8166136280501,01.02.2016.DEN.at.GSW
2,209.34,1610612744,102.92168985894997,01.02.2016.DEN.at.GSW
2,209.15,1610612744,100.07281656434995,01.02.2016.DEN.at.GSW
2,208.95,1610612744,96.55026986929997,01.02.2016.DEN.at.GSW
2,208.76,1610612743,294.0429678059999,01.02.2016.DEN.at.GSW
2,208.57,1610612743,311.40121007720006,01.02.2016.DEN.at.GSW
2,208.38,1610612743,314.14080136905005,01.02.2016.DEN.at.GSW
2,208.19,1610612743,314.15122484824997,01.02.2016.DEN.at.GSW
2,208.0,1610612743,307.42767547034987,01.02.2016.DEN.at.GSW
2,207.81,1610612743,301.7373809433,01.02.2016.DEN.at.GSW
